crop_id,product,yield_unit,nutrient_id,removal_kg_per_unit,source,region,year,dataset_version
tomato,grain,t_ha,N,3.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
tomato,grain,t_ha,P,0.4,Non_Nobis_Solum_Py_prototype,global,2026,v1
tomato,grain,t_ha,K,3.5,Non_Nobis_Solum_Py_prototype,global,2026,v1
tomato,grain,t_ha,S,0.6,Non_Nobis_Solum_Py_prototype,global,2026,v1
tomato,grain,t_ha,Ca,0.8,Bertsch_F_2003_extraccion_tabla10,global,2003,v1
tomato,grain,t_ha,Mg,0.1,Bertsch_F_2003_extraccion_tabla10,global,2003,v1
bean,grain,t_ha,N,40.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
bean,grain,t_ha,P,4.5,Non_Nobis_Solum_Py_prototype,global,2026,v1
bean,grain,t_ha,K,15.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
bean,grain,t_ha,S,4.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
bean,grain,t_ha,Ca,5.0,illustrative_estimate,global,2026,v1
bean,grain,t_ha,Mg,3.0,illustrative_estimate,global,2026,v1
onion,grain,t_ha,N,2.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
onion,grain,t_ha,P,0.4,Non_Nobis_Solum_Py_prototype,global,2026,v1
onion,grain,t_ha,K,2.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
onion,grain,t_ha,S,0.5,Non_Nobis_Solum_Py_prototype,global,2026,v1
onion,grain,t_ha,Ca,0.8,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_extraccion_tabla10,global,2003,v1
onion,grain,t_ha,Mg,0.3,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_extraccion_tabla10,global,2003,v1
carrot,grain,t_ha,N,2.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
carrot,grain,t_ha,P,0.4,Non_Nobis_Solum_Py_prototype,global,2026,v1
carrot,grain,t_ha,K,3.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
carrot,grain,t_ha,S,0.5,Non_Nobis_Solum_Py_prototype,global,2026,v1
carrot,grain,t_ha,Ca,3,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
carrot,grain,t_ha,Mg,0.2,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
pasture,grain,t_ha,N,20.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
pasture,grain,t_ha,P,2.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
pasture,grain,t_ha,K,18.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
pasture,grain,t_ha,S,3.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
pasture,grain,t_ha,Ca,5.0,illustrative_estimate,global,2026,v1
pasture,grain,t_ha,Mg,3.0,illustrative_estimate,global,2026,v1
sorghum,grain,t_ha,N,12.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
sorghum,grain,t_ha,P,2.5,Non_Nobis_Solum_Py_prototype,global,2026,v1
sorghum,grain,t_ha,K,8.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
sorghum,grain,t_ha,S,2.5,Non_Nobis_Solum_Py_prototype,global,2026,v1
sorghum,grain,t_ha,Ca,0.9,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
sorghum,grain,t_ha,Mg,1,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
orange,grain,t_ha,N,2.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
orange,grain,t_ha,P,0.3,Non_Nobis_Solum_Py_prototype,global,2026,v1
orange,grain,t_ha,K,2.5,Non_Nobis_Solum_Py_prototype,global,2026,v1
orange,grain,t_ha,S,3.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
orange,grain,t_ha,Ca,1,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
orange,grain,t_ha,Mg,0.4,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
cassava,grain,t_ha,N,1.2,Non_Nobis_Solum_Py_prototype,global,2026,v1
cassava,grain,t_ha,P,0.2,Non_Nobis_Solum_Py_prototype,global,2026,v1
cassava,grain,t_ha,K,2.5,Non_Nobis_Solum_Py_prototype,global,2026,v1
cassava,grain,t_ha,S,3.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
cassava,grain,t_ha,Ca,1.0,illustrative_estimate,global,2026,v1
cassava,grain,t_ha,Mg,1.0,illustrative_estimate,global,2026,v1
sunflower,grain,t_ha,N,25.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
sunflower,grain,t_ha,P,4.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
sunflower,grain,t_ha,K,20.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
sunflower,grain,t_ha,S,3.0,Non_Nobis_Solum_Py_prototype,global,2026,v1
sunflower,grain,t_ha,Ca,1,Bertsch_2003+INPOFOS_1999_extraccion_tabla11,global,1999,v1
sunflower,grain,t_ha,Mg,3,Bertsch_2003+INPOFOS_1999_extraccion_tabla11,global,1999,v1
pea,grain,t_ha,N,15,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
pea,grain,t_ha,P,2,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
pea,grain,t_ha,K,7,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
pea,grain,t_ha,Ca,0.7,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
pea,grain,t_ha,Mg,0.3,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
pea,grain,t_ha,S,0.1,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
cucumber,grain,t_ha,N,1.5,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
cucumber,grain,t_ha,P,0.5,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
cucumber,grain,t_ha,K,3.5,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
cucumber,grain,t_ha,Ca,0.5,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
cucumber,grain,t_ha,Mg,0.2,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
cucumber,grain,t_ha,S,0.1,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
bell_pepper,grain,t_ha,N,2.4,Bertsch_F_2003_extraccion_tabla10,global,2003,v1
bell_pepper,grain,t_ha,P,0.3,Bertsch_F_2003_extraccion_tabla10,global,2003,v1
bell_pepper,grain,t_ha,K,2.3,Bertsch_F_2003_extraccion_tabla10,global,2003,v1
bell_pepper,grain,t_ha,Ca,0.3,Bertsch_F_2003_extraccion_tabla10,global,2003,v1
bell_pepper,grain,t_ha,Mg,0.2,Bertsch_F_2003_extraccion_tabla10,global,2003,v1
bell_pepper,grain,t_ha,S,0.1,Bertsch_F_2003_extraccion_tabla10,global,2003,v1
lettuce,grain,t_ha,N,1.5,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_extraccion_tabla10,global,2003,v1
lettuce,grain,t_ha,P,0.3,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_extraccion_tabla10,global,2003,v1
lettuce,grain,t_ha,K,3.5,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_extraccion_tabla10,global,2003,v1
lettuce,grain,t_ha,Ca,0.5,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_extraccion_tabla10,global,2003,v1
lettuce,grain,t_ha,Mg,0.1,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_extraccion_tabla10,global,2003,v1
lettuce,grain,t_ha,S,0.1,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_extraccion_tabla10,global,2003,v1
celery,grain,t_ha,N,0.3,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_extraccion_tabla10,global,2003,v1
celery,grain,t_ha,P,0.1,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_extraccion_tabla10,global,2003,v1
celery,grain,t_ha,K,0.4,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_extraccion_tabla10,global,2003,v1
celery,grain,t_ha,Ca,0.1,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_extraccion_tabla10,global,2003,v1
celery,grain,t_ha,Mg,0.1,Bertsch_F_2003+IPNI_Norte_Latinoamerica_2007_extraccion_tabla10,global,2003,v1
broccoli,grain,t_ha,N,2.1,Bertsch_F_2003+IPI_2007_extraccion_tabla10,global,2003,v1
broccoli,grain,t_ha,P,0.6,Bertsch_F_2003+IPI_2007_extraccion_tabla10,global,2003,v1
broccoli,grain,t_ha,K,1.6,Bertsch_F_2003+IPI_2007_extraccion_tabla10,global,2003,v1
broccoli,grain,t_ha,Ca,0.4,Bertsch_F_2003+IPI_2007_extraccion_tabla10,global,2003,v1
broccoli,grain,t_ha,Mg,0.2,Bertsch_F_2003+IPI_2007_extraccion_tabla10,global,2003,v1
broccoli,grain,t_ha,S,0.4,Bertsch_F_2003+IPI_2007_absorcion_total_tabla10,global,2003,v1
cauliflower,grain,t_ha,N,3,Bertsch_F_2003+IPI_2007_extraccion_tabla10,global,2003,v1
cauliflower,grain,t_ha,P,0.6,Bertsch_F_2003+IPI_2007_extraccion_tabla10,global,2003,v1
cauliflower,grain,t_ha,K,3,Bertsch_F_2003+IPI_2007_extraccion_tabla10,global,2003,v1
cauliflower,grain,t_ha,Ca,0.8,Bertsch_F_2003+IPI_2007_extraccion_tabla10,global,2003,v1
cauliflower,grain,t_ha,Mg,0.1,Bertsch_F_2003+IPI_2007_extraccion_tabla10,global,2003,v1
cauliflower,grain,t_ha,S,0.1,Bertsch_F_2003+IPI_2007_extraccion_tabla10,global,2003,v1
cabbage,grain,t_ha,N,3,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
cabbage,grain,t_ha,P,0.4,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
cabbage,grain,t_ha,K,2.6,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
cabbage,grain,t_ha,Ca,0.8,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
cabbage,grain,t_ha,Mg,0.2,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
cabbage,grain,t_ha,S,0.2,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
spinach,grain,t_ha,N,3.3,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
spinach,grain,t_ha,P,0.6,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
spinach,grain,t_ha,K,3.4,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
spinach,grain,t_ha,Ca,0.1,Bertsch_F_2003+IFA_1992_absorcion_total_tabla10,global,1992,v1
spinach,grain,t_ha,Mg,0.4,Bertsch_F_2003+IFA_1992_absorcion_total_tabla10,global,1992,v1
asparagus,grain,t_ha,N,9.6,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
asparagus,grain,t_ha,P,1.6,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
asparagus,grain,t_ha,K,8.5,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
asparagus,grain,t_ha,Ca,10,Bertsch_F_2003+IFA_1992_absorcion_total_tabla10,global,1992,v1
asparagus,grain,t_ha,Mg,0.9,Bertsch_F_2003+IFA_1992_absorcion_total_tabla10,global,1992,v1
artichoke,grain,t_ha,N,8,Bertsch_F_2003_absorcion_total_tabla10,global,2003,v1
artichoke,grain,t_ha,P,2,Bertsch_F_2003_absorcion_total_tabla10,global,2003,v1
artichoke,grain,t_ha,K,13,Bertsch_F_2003_absorcion_total_tabla10,global,2003,v1
beet,grain,t_ha,N,3.5,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
beet,grain,t_ha,P,0.4,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
beet,grain,t_ha,K,3.5,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
beet,grain,t_ha,Ca,0.6,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
beet,grain,t_ha,Mg,0.6,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
beet,grain,t_ha,S,0.2,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
barley,grain,t_ha,N,15,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
barley,grain,t_ha,P,3,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
barley,grain,t_ha,K,5,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
barley,grain,t_ha,Mg,1,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
barley,grain,t_ha,S,2,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
oats,grain,t_ha,N,20,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
oats,grain,t_ha,P,3,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
oats,grain,t_ha,K,3,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
oats,grain,t_ha,Mg,1,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
oats,grain,t_ha,S,1.8,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
plum,grain,t_ha,N,4.5,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
plum,grain,t_ha,P,0.6,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
plum,grain,t_ha,K,4.2,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
plum,grain,t_ha,Mg,0.5,Bertsch_F_2003+IFA_1992_absorcion_total_tabla10,global,1992,v1
peach,grain,t_ha,N,2.8,IFA_1992_extraccion_tabla10,global,1992,v1
peach,grain,t_ha,P,0.5,IFA_1992_extraccion_tabla10,global,1992,v1
peach,grain,t_ha,K,3,IFA_1992_extraccion_tabla10,global,1992,v1
peach,grain,t_ha,Ca,0.2,IFA_1992_extraccion_tabla10,global,1992,v1
peach,grain,t_ha,Mg,0.3,IFA_1992_extraccion_tabla10,global,1992,v1
apple,grain,t_ha,N,2.5,IFA_1992+Melgar_DiazZorita_1997_extraccion_tabla10,global,1992,v1
apple,grain,t_ha,P,0.4,IFA_1992+Melgar_DiazZorita_1997_extraccion_tabla10,global,1992,v1
apple,grain,t_ha,K,1.4,IFA_1992+Melgar_DiazZorita_1997_extraccion_tabla10,global,1992,v1
apple,grain,t_ha,Ca,0.6,IFA_1992+Melgar_DiazZorita_1997_extraccion_tabla10,global,1992,v1
apple,grain,t_ha,Mg,0.1,IFA_1992+Melgar_DiazZorita_1997_extraccion_tabla10,global,1992,v1
grape,grain,t_ha,N,4.4,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
grape,grain,t_ha,P,0.7,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
grape,grain,t_ha,K,5,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
grape,grain,t_ha,Ca,2.7,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
grape,grain,t_ha,Mg,0.7,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
pear,grain,t_ha,N,1.7,IFA_1992+Melgar_DiazZorita_1997_extraccion_tabla10,global,1992,v1
pear,grain,t_ha,P,0.3,IFA_1992+Melgar_DiazZorita_1997_extraccion_tabla10,global,1992,v1
pear,grain,t_ha,K,2.4,IFA_1992+Melgar_DiazZorita_1997_extraccion_tabla10,global,1992,v1
pear,grain,t_ha,Ca,0.3,IFA_1992+Melgar_DiazZorita_1997_extraccion_tabla10,global,1992,v1
pear,grain,t_ha,Mg,0.2,IFA_1992+Melgar_DiazZorita_1997_extraccion_tabla10,global,1992,v1
melon,grain,t_ha,N,2.5,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
melon,grain,t_ha,P,0.3,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
melon,grain,t_ha,K,3.5,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
melon,grain,t_ha,Ca,3.3,Bertsch_F_2003+IFA_1992_absorcion_total_tabla10,global,1992,v1
melon,grain,t_ha,Mg,0.7,Bertsch_F_2003+IFA_1992_absorcion_total_tabla10,global,1992,v1
pineapple,grain,t_ha,N,1,Bertsch_F_2003+Guerrero_2001_extraccion_tabla10,global,2001,v1
pineapple,grain,t_ha,P,0.4,Bertsch_F_2003+Guerrero_2001_extraccion_tabla10,global,2001,v1
pineapple,grain,t_ha,K,4.5,Bertsch_F_2003+Guerrero_2001_extraccion_tabla10,global,2001,v1
pineapple,grain,t_ha,Mg,1.6,Bertsch_F_2003+Guerrero_2001_absorcion_total_tabla10,global,2001,v1
pineapple,grain,t_ha,S,0.4,Bertsch_F_2003+Guerrero_2001_absorcion_total_tabla10,global,2001,v1
banana,grain,t_ha,N,2,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
banana,grain,t_ha,P,0.4,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
banana,grain,t_ha,K,6,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
banana,grain,t_ha,Ca,1,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
banana,grain,t_ha,Mg,1.5,Bertsch_F_2003+IFA_1992_absorcion_total_tabla10,global,1992,v1
banana,grain,t_ha,S,0.7,Bertsch_F_2003+IFA_1992_absorcion_total_tabla10,global,1992,v1
watermelon,grain,t_ha,N,1,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
watermelon,grain,t_ha,P,0.2,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
watermelon,grain,t_ha,K,1,Bertsch_F_2003+IFA_1992_extraccion_tabla10,global,1992,v1
lemon,grain,t_ha,N,1.6,IFA_1992_extraccion_tabla10,global,1992,v1
lemon,grain,t_ha,P,0.2,IFA_1992_extraccion_tabla10,global,1992,v1
lemon,grain,t_ha,K,1.7,IFA_1992_extraccion_tabla10,global,1992,v1
lemon,grain,t_ha,Ca,0.7,IFA_1992_extraccion_tabla10,global,1992,v1
lemon,grain,t_ha,Mg,0.2,IFA_1992_extraccion_tabla10,global,1992,v1
lemon,grain,t_ha,S,0.1,IFA_1992_extraccion_tabla10,global,1992,v1
mandarin,grain,t_ha,N,1.5,IFA_1992_extraccion_tabla10,global,1992,v1
mandarin,grain,t_ha,P,0.2,IFA_1992_extraccion_tabla10,global,1992,v1
mandarin,grain,t_ha,K,2,IFA_1992_extraccion_tabla10,global,1992,v1
mandarin,grain,t_ha,Ca,0.7,IFA_1992_extraccion_tabla10,global,1992,v1
mandarin,grain,t_ha,Mg,0.2,IFA_1992_extraccion_tabla10,global,1992,v1
mandarin,grain,t_ha,S,0.1,IFA_1992_extraccion_tabla10,global,1992,v1
tamarillo,grain,t_ha,N,4.8,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
tamarillo,grain,t_ha,P,0.7,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
tamarillo,grain,t_ha,K,5.6,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
tamarillo,grain,t_ha,Ca,1.2,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
tamarillo,grain,t_ha,Mg,0.5,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
tamarillo,grain,t_ha,S,1,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
avocado_hass,grain,t_ha,N,2.5,Torrez_Chinchilla_2007_absorcion_total_tabla10,global,2007,v1
avocado_hass,grain,t_ha,P,1,Torrez_Chinchilla_2007_absorcion_total_tabla10,global,2007,v1
avocado_hass,grain,t_ha,K,4.6,Torrez_Chinchilla_2007_absorcion_total_tabla10,global,2007,v1
avocado_hass,grain,t_ha,Ca,0.2,Torrez_Chinchilla_2007_absorcion_total_tabla10,global,2007,v1
avocado_hass,grain,t_ha,Mg,0.3,Torrez_Chinchilla_2007_absorcion_total_tabla10,global,2007,v1
avocado_hass,grain,t_ha,S,0.3,Torrez_Chinchilla_2007_absorcion_total_tabla10,global,2007,v1
mango,grain,t_ha,N,6.6,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
mango,grain,t_ha,P,1.6,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
mango,grain,t_ha,K,6.1,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
mango,grain,t_ha,Ca,3,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
mango,grain,t_ha,Mg,0.7,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
mango,grain,t_ha,S,1,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
papaya,grain,t_ha,N,1.8,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
papaya,grain,t_ha,P,0.5,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
papaya,grain,t_ha,K,2.6,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
papaya,grain,t_ha,Ca,1.2,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
papaya,grain,t_ha,Mg,0.5,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
papaya,grain,t_ha,S,0.5,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
lulo,grain,t_ha,N,4,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
lulo,grain,t_ha,P,0.6,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
lulo,grain,t_ha,K,3.3,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
lulo,grain,t_ha,Ca,1.2,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
lulo,grain,t_ha,Mg,0.8,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
lulo,grain,t_ha,S,0.7,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
blackberry,grain,t_ha,N,2.7,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
blackberry,grain,t_ha,P,0.6,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
blackberry,grain,t_ha,K,2.5,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
blackberry,grain,t_ha,Ca,1.2,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
blackberry,grain,t_ha,Mg,0.8,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
blackberry,grain,t_ha,S,0.9,Guerrero_2001_absorcion_total_tabla10,global,2001,v1
strawberry,grain,t_ha,N,2.3,Bertsch_F_2003+Guerrero_2001_absorcion_total_tabla10,global,2001,v1
strawberry,grain,t_ha,P,0.6,Bertsch_F_2003+Guerrero_2001_absorcion_total_tabla10,global,2001,v1
strawberry,grain,t_ha,K,2,Bertsch_F_2003+Guerrero_2001_absorcion_total_tabla10,global,2001,v1
strawberry,grain,t_ha,Ca,1.9,Bertsch_F_2003+Guerrero_2001_absorcion_total_tabla10,global,2001,v1
strawberry,grain,t_ha,Mg,0.4,Bertsch_F_2003+Guerrero_2001_absorcion_total_tabla10,global,2001,v1
strawberry,grain,t_ha,S,0.3,Bertsch_F_2003+Guerrero_2001_absorcion_total_tabla10,global,2001,v1
kikuyu_grass,grain,t_ha,N,27.8,INPOFOS_2003_extraccion_tabla11,global,2003,v1
kikuyu_grass,grain,t_ha,P,5.9,INPOFOS_2003_extraccion_tabla11,global,2003,v1
kikuyu_grass,grain,t_ha,K,29.6,INPOFOS_2003_extraccion_tabla11,global,2003,v1
tall_fescue,grain,t_ha,N,25,IPNI_NorthCentral_USA_2007_extraccion_tabla11,global,2007,v1
