id,nombre_comercial,tipo,grado_N,grado_P2O5,grado_K2O,grado_S,clase,formulacion,estado_colombia,fuente
18,Fosfato monoamónico purificado (MAP soluble),Simple,12,61,0,0,Fosfatado soluble,12-61-0,Comercialización común (fertirriego),Grado técnico/soluble - estándar industria fertirriego
19,Superfosfato simple (SFS),Simple,0,18,0,12,Fosfatado,0-18-0-12S,Amplia comercialización en Colombia,Monómeros / Abonos Colombianos
20,Superfosfato triple (SFT/TSP),Simple,0,46,0,0,Fosfatado,0-46-0,Comercialización común,Monómeros / importadores
21,Roca fosfórica (Fosforita),Simple,0,28,0,0,Fosfatado natural,0-28-0,Comercialización común (agricultura orgánica),Yacimientos nacionales (Boyacá/Huila) - genérico
22,Fosfato monopotásico (MKP),Simple,0,52,34,0,Fosfatado/Potásico soluble,0-52-34,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
23,Ácido fosfórico agrícola,Simple,0,52,0,0,Fosfatado líquido,0-52-0,Uso especializado (fertirriego),Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
24,Cloruro de potasio (KCl / MOP),Simple,0,0,60,0,Potásico,0-0-60,Amplia comercialización en Colombia,Monómeros / Nutrien / importado (Canpotex)
25,Sulfato de potasio (SOP),Simple,0,0,50,18,Potásico,0-0-50-18S,Comercialización común,Yara / importadores (SQM)
26,Sulfato de potasio y magnesio (Sul-Po-Mag / K-Mag),Simple,0,0,22,22,Potásico/Secundario,0-0-22-22S,"Comercialización común (café, palma)",Mosaic / importadores
27,Nitrato de potasio soluble,Simple,13,0,46,0,Potásico/Nitrogenado soluble,13-0-46,Comercialización común (fertirriego),Grado técnico/soluble - estándar industria fertirriego
28,Cal agrícola (carbonato de calcio),Simple,0,0,0,0,Enmienda/Secundario (Ca),0-0-0,Amplia comercialización en Colombia,Caleras regionales - genérico
29,Cal dolomita,Simple,0,0,0,0,Enmienda/Secundario (Ca-Mg),0-0-0,Amplia comercialización en Colombia,Caleras regionales - genérico
30,Yeso agrícola (sulfato de calcio),Simple,0,0,0,17,Secundario (Ca-S),0-0-0-17S,Comercialización común,Común en distribuidores agroquímicos de Colombia (insumo genérico)
31,Sulfato de magnesio heptahidratado (Sal de Epsom),Simple,0,0,0,13,Secundario (Mg-S),0-0-0-13S,Comercialización común (foliar),Grado técnico/soluble - estándar industria fertirriego
32,Kieserita (sulfato de magnesio monohidratado),Simple,0,0,0,22,Secundario (Mg-S),0-0-0-22S,"Comercialización común (palma, café)",K+S / importadores
33,Óxido de magnesio,Simple,0,0,0,0,Secundario (Mg),0-0-0,Uso especializado/regional,Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
34,Azufre elemental agrícola (granulado),Simple,0,0,0,90,Secundario (S),0-0-0-90S,Comercialización común,Común en distribuidores agroquímicos de Colombia (insumo genérico)
35,Sulfato de zinc heptahidratado,Simple,0,0,0,0,Micronutriente (Zn),0-0-0,Amplia comercialización en Colombia,Común en distribuidores agroquímicos de Colombia (insumo genérico)
36,Sulfato de zinc monohidratado,Simple,0,0,0,0,Micronutriente (Zn),0-0-0,Comercialización común,Común en distribuidores agroquímicos de Colombia (insumo genérico)
37,Óxido de zinc,Simple,0,0,0,0,Micronutriente (Zn),0-0-0,Uso especializado/regional,Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
38,Quelato de zinc EDTA,Simple,0,0,0,0,Micronutriente quelatado (Zn),0-0-0,Comercialización común (foliar),Grado técnico/soluble - estándar industria fertirriego
39,Sulfato de manganeso,Simple,0,0,0,0,Micronutriente (Mn),0-0-0,Comercialización común,Común en distribuidores agroquímicos de Colombia (insumo genérico)
40,Quelato de manganeso EDTA,Simple,0,0,0,0,Micronutriente quelatado (Mn),0-0-0,Uso especializado (foliar),Grado técnico/soluble - estándar industria fertirriego
41,Sulfato de cobre pentahidratado,Simple,0,0,0,0,Micronutriente (Cu),0-0-0,Amplia comercialización en Colombia,Común en distribuidores agroquímicos de Colombia (insumo genérico)
42,Oxicloruro de cobre,Simple,0,0,0,0,Micronutriente (Cu),0-0-0,Comercialización común (fungicida-fertilizante),Común en distribuidores agroquímicos de Colombia (insumo genérico)
43,Sulfato ferroso,Simple,0,0,0,0,Micronutriente (Fe),0-0-0,Comercialización común,Común en distribuidores agroquímicos de Colombia (insumo genérico)
44,Quelato de hierro EDDHA,Simple,0,0,0,0,Micronutriente quelatado (Fe),0-0-0,"Comercialización común (foliar, suelos alcalinos)",Grado técnico/soluble - estándar industria fertirriego
45,Ácido bórico,Simple,0,0,0,0,Micronutriente (B),0-0-0,Amplia comercialización en Colombia,Común en distribuidores agroquímicos de Colombia (insumo genérico)
46,Bórax decahidratado,Simple,0,0,0,0,Micronutriente (B),0-0-0,Comercialización común,Común en distribuidores agroquímicos de Colombia (insumo genérico)
47,Solubor (octaborato de sodio),Simple,0,0,0,0,Micronutriente soluble (B),0-0-0,Comercialización común (foliar),Grado técnico/soluble - estándar industria fertirriego
48,Molibdato de sodio,Simple,0,0,0,0,Micronutriente (Mo),0-0-0,Uso especializado/regional,Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
49,Sulfato de cobalto,Simple,0,0,0,0,Micronutriente (Co),0-0-0,Uso especializado/regional,Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
50,Mezcla de micronutrientes quelatados (Zn-Mn-Fe-Cu-B-Mo),Simple,0,0,0,0,Micronutriente mixto quelatado,0-0-0,Comercialización común (foliar),Grado técnico/soluble - estándar industria fertirriego
51,Quelato de zinc DTPA,Simple,0,0,0,0,Micronutriente quelatado (Zn),0-0-0,Comercialización común (foliar),Grado técnico/soluble - estándar industria fertirriego
52,Quelato de hierro DTPA,Simple,0,0,0,0,Micronutriente quelatado (Fe),0-0-0,Comercialización común (foliar),Grado técnico/soluble - estándar industria fertirriego
53,Quelato de cobre EDTA,Simple,0,0,0,0,Micronutriente quelatado (Cu),0-0-0,Uso especializado (foliar),Grado técnico/soluble - estándar industria fertirriego
54,Quelato de calcio-boro (foliar),Simple,0,0,0,0,Secundario/Micronutriente foliar (Ca-B),0-0-0,Comercialización común (foliar),Grado técnico/soluble - estándar industria fertirriego
55,Cloruro de calcio,Simple,0,0,0,0,Secundario (Ca),0-0-0,Uso especializado (poscosecha/foliar),Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
56,Silicato de potasio,Simple,0,0,20,0,Potásico/Silicio,0-0-20,"Uso especializado (foliar, resistencia)",Grado técnico/soluble - estándar industria fertirriego
57,Silicato de calcio,Simple,0,0,0,0,Secundario/Silicio,0-0-0,Uso especializado/regional,Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
58,Sulfato de amonio granulado con azufre elemental,Simple,21,0,0,24,Nitrogenado,21-0-0-24S,Comercialización común,Común en distribuidores agroquímicos de Colombia (insumo genérico)
59,Fosfato biamónico grado técnico soluble,Simple,21,53,0,0,Fosfatado soluble,21-53-0,Uso especializado (fertirriego),Grado técnico/soluble - estándar industria fertirriego
60,Nitrato de amonio calcáreo con boro,Simple,27,0,0,0,Nitrogenado/Secundario,27-0-0,Uso especializado/regional,Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
61,Sulfato de potasio granulado grado agrícola,Simple,0,0,50,17,Potásico,0-0-50-17S,Comercialización común,Yara / importadores
62,Roca fosfórica reactiva (uso orgánico),Simple,0,22,0,0,Fosfatado natural,0-22-0,Uso especializado (agricultura orgánica),Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
63,Guano de isla (fosfatado natural),Simple,2,12,2,0,Fosfatado natural orgánico,2-12-2,Uso especializado/regional,Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
64,Harina de hueso (fosfatado orgánico),Simple,3,20,0,0,Fosfatado natural orgánico,3-20-0,Uso especializado (agricultura orgánica),Estándar internacional (FAO/IFA) - insumo genérico multi-fabricante
65,NPK 10-10-10 granulado,Compuesto,10,10,10,0,NPK(S) granulado - uso general,10-10-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
66,NPK 10-20-10 granulado,Compuesto,10,20,10,0,NPK(S) granulado - uso general,10-20-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
67,NPK 10-20-20 granulado,Compuesto,10,20,20,0,NPK(S) granulado - uso general,10-20-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
68,NPK 10-30-10 granulado,Compuesto,10,30,10,0,NPK(S) granulado - uso general,10-30-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
69,NPK 10-30-20 granulado,Compuesto,10,30,20,0,NPK(S) granulado - uso general,10-30-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
70,NPK 12-12-12 granulado,Compuesto,12,12,12,0,NPK(S) granulado - uso general,12-12-12,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
71,NPK 12-12-17-2S granulado,Compuesto,12,12,17,2,NPK(S) granulado - uso general,12-12-17-2S,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
72,NPK 12-24-12 granulado,Compuesto,12,24,12,0,NPK(S) granulado - uso general,12-24-12,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
73,NPK 13-13-21 granulado,Compuesto,13,13,21,0,NPK(S) granulado - uso general,13-13-21,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
74,NPK 13-26-6 granulado,Compuesto,13,26,6,0,NPK(S) granulado - uso general,13-26-6,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
75,NPK 14-14-14 granulado,Compuesto,14,14,14,0,NPK(S) granulado - uso general,14-14-14,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
76,NPK 14-28-14 granulado,Compuesto,14,28,14,0,NPK(S) granulado - uso general,14-28-14,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
77,NPK 15-15-15 granulado,Compuesto,15,15,15,0,NPK(S) granulado - uso general,15-15-15,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
78,NPK 15-30-15 granulado,Compuesto,15,30,15,0,NPK(S) granulado - uso general,15-30-15,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
79,NPK 16-16-16 granulado,Compuesto,16,16,16,0,NPK(S) granulado - uso general,16-16-16,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
80,NPK 17-6-18-2S granulado,Compuesto,17,6,18,2,NPK(S) granulado - uso general,17-6-18-2S,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
81,NPK 18-18-18 granulado,Compuesto,18,18,18,0,NPK(S) granulado - uso general,18-18-18,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
82,NPK 19-19-19 granulado,Compuesto,19,19,19,0,NPK(S) granulado - uso general,19-19-19,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
83,NPK 20-10-10 granulado,Compuesto,20,10,10,0,NPK(S) granulado - uso general,20-10-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
84,NPK 20-20-0 granulado,Compuesto,20,20,0,0,NPK(S) granulado - uso general,20-20-0,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
85,NPK 20-20-20 granulado,Compuesto,20,20,20,0,NPK(S) granulado - uso general,20-20-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
86,NPK 9-13-27 granulado,Compuesto,9,13,27,0,NPK(S) granulado - uso general,9-13-27,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
87,NPK 10-10-20 granulado,Compuesto,10,10,20,0,NPK(S) granulado - uso general,10-10-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
88,NPK 10-20-30 granulado,Compuesto,10,20,30,0,NPK(S) granulado - uso general,10-20-30,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
89,NPK 12-11-18-2S granulado,Compuesto,12,11,18,2,NPK(S) granulado - uso general,12-11-18-2S,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
90,NPK 14-4-25 granulado,Compuesto,14,4,25,0,NPK(S) granulado - uso general,14-4-25,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
91,NPK 15-4-23-4S granulado,Compuesto,15,4,23,4,NPK(S) granulado - uso general,15-4-23-4S,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
92,NPK 25-4-24-4S granulado,Compuesto,25,4,24,4,NPK(S) granulado - uso general,25-4-24-4S,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
93,NPK 9-23-30 granulado,Compuesto,9,23,30,0,NPK(S) granulado - uso general,9-23-30,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
94,NPK 11-22-21 granulado,Compuesto,11,22,21,0,NPK(S) granulado - uso general,11-22-21,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
95,NPK 12-30-10 granulado,Compuesto,12,30,10,0,NPK(S) granulado - uso general,12-30-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
96,NPK 13-20-20 granulado,Compuesto,13,20,20,0,NPK(S) granulado - uso general,13-20-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
97,NPK 15-15-20 granulado,Compuesto,15,15,20,0,NPK(S) granulado - uso general,15-15-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
98,NPK 16-20-0 granulado,Compuesto,16,20,0,0,NPK(S) granulado - uso general,16-20-0,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
99,NPK 18-46-0 granulado,Compuesto,18,46,0,0,NPK(S) granulado - uso general,18-46-0,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
100,NPK 10-15-15 granulado,Compuesto,10,15,15,0,NPK(S) granulado - uso general,10-15-15,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
101,NPK 10-25-25 granulado,Compuesto,10,25,25,0,NPK(S) granulado - uso general,10-25-25,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
102,NPK 12-20-20 granulado,Compuesto,12,20,20,0,NPK(S) granulado - uso general,12-20-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
103,NPK 14-20-14 granulado,Compuesto,14,20,14,0,NPK(S) granulado - uso general,14-20-14,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
104,NPK 16-8-24 granulado,Compuesto,16,8,24,0,NPK(S) granulado - uso general,16-8-24,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
105,NPK 18-12-12 granulado,Compuesto,18,12,12,0,NPK(S) granulado - uso general,18-12-12,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
106,NPK 20-5-20 granulado,Compuesto,20,5,20,0,NPK(S) granulado - uso general,20-5-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
107,NPK 23-23-0 granulado,Compuesto,23,23,0,0,NPK(S) granulado - uso general,23-23-0,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
108,NPK 24-0-24 granulado,Compuesto,24,0,24,0,NPK(S) granulado - uso general,24-0-24,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
109,NPK 8-24-24 granulado,Compuesto,8,24,24,0,NPK(S) granulado - uso general,8-24-24,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
110,NPK 6-12-24 granulado,Compuesto,6,12,24,0,NPK(S) granulado - uso general,6-12-24,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
111,NPK 6-18-24 granulado,Compuesto,6,18,24,0,NPK(S) granulado - uso general,6-18-24,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
112,NPK 7-14-21 granulado,Compuesto,7,14,21,0,NPK(S) granulado - uso general,7-14-21,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
113,NPK 8-16-24 granulado,Compuesto,8,16,24,0,NPK(S) granulado - uso general,8-16-24,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
114,NPK 9-18-27 granulado,Compuesto,9,18,27,0,NPK(S) granulado - uso general,9-18-27,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
115,NPK 10-12-24 granulado,Compuesto,10,12,24,0,NPK(S) granulado - uso general,10-12-24,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
116,NPK 11-15-25 granulado,Compuesto,11,15,25,0,NPK(S) granulado - uso general,11-15-25,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
117,NPK 12-8-16 granulado,Compuesto,12,8,16,0,NPK(S) granulado - uso general,12-8-16,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
118,NPK 12-14-20 granulado,Compuesto,12,14,20,0,NPK(S) granulado - uso general,12-14-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
119,NPK 13-10-20 granulado,Compuesto,13,10,20,0,NPK(S) granulado - uso general,13-10-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
120,NPK 14-10-20 granulado,Compuesto,14,10,20,0,NPK(S) granulado - uso general,14-10-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
121,NPK 15-5-25 granulado,Compuesto,15,5,25,0,NPK(S) granulado - uso general,15-5-25,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
122,NPK 15-8-15 granulado,Compuesto,15,8,15,0,NPK(S) granulado - uso general,15-8-15,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
123,NPK 16-4-32 granulado,Compuesto,16,4,32,0,NPK(S) granulado - uso general,16-4-32,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
124,NPK 17-17-17 granulado,Compuesto,17,17,17,0,NPK(S) granulado - uso general,17-17-17,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
125,NPK 19-4-19 granulado,Compuesto,19,4,19,0,NPK(S) granulado - uso general,19-4-19,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
126,NPK 20-8-20 granulado,Compuesto,20,8,20,0,NPK(S) granulado - uso general,20-8-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
127,NPK 21-7-14 granulado,Compuesto,21,7,14,0,NPK(S) granulado - uso general,21-7-14,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
128,NPK 22-5-11 granulado,Compuesto,22,5,11,0,NPK(S) granulado - uso general,22-5-11,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
129,NPK 24-6-12 granulado,Compuesto,24,6,12,0,NPK(S) granulado - uso general,24-6-12,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
130,NPK 5-10-15 granulado,Compuesto,5,10,15,0,NPK(S) granulado - uso general,5-10-15,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
131,NPK 5-15-20 granulado,Compuesto,5,15,20,0,NPK(S) granulado - uso general,5-15-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
132,NPK 6-10-10 granulado,Compuesto,6,10,10,0,NPK(S) granulado - uso general,6-10-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
133,NPK 6-20-20 granulado,Compuesto,6,20,20,0,NPK(S) granulado - uso general,6-20-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
134,NPK 7-17-17 granulado,Compuesto,7,17,17,0,NPK(S) granulado - uso general,7-17-17,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
135,NPK 8-8-8 granulado,Compuesto,8,8,8,0,NPK(S) granulado - uso general,8-8-8,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
136,NPK 8-10-10 granulado,Compuesto,8,10,10,0,NPK(S) granulado - uso general,8-10-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
137,NPK 8-20-10 granulado,Compuesto,8,20,10,0,NPK(S) granulado - uso general,8-20-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
138,NPK 9-9-9 granulado,Compuesto,9,9,9,0,NPK(S) granulado - uso general,9-9-9,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
139,NPK 9-20-20 granulado,Compuesto,9,20,20,0,NPK(S) granulado - uso general,9-20-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
140,NPK 10-8-8 granulado,Compuesto,10,8,8,0,NPK(S) granulado - uso general,10-8-8,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
141,NPK 10-18-9 granulado,Compuesto,10,18,9,0,NPK(S) granulado - uso general,10-18-9,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
142,NPK 10-26-26 granulado,Compuesto,10,26,26,0,NPK(S) granulado - uso general,10-26-26,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
143,NPK 11-11-11 granulado,Compuesto,11,11,11,0,NPK(S) granulado - uso general,11-11-11,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
144,NPK 11-17-17 granulado,Compuesto,11,17,17,0,NPK(S) granulado - uso general,11-17-17,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
145,NPK 12-6-6 granulado,Compuesto,12,6,6,0,NPK(S) granulado - uso general,12-6-6,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
146,NPK 12-16-16 granulado,Compuesto,12,16,16,0,NPK(S) granulado - uso general,12-16-16,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
147,NPK 12-30-15 granulado,Compuesto,12,30,15,0,NPK(S) granulado - uso general,12-30-15,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
148,NPK 13-8-24 granulado,Compuesto,13,8,24,0,NPK(S) granulado - uso general,13-8-24,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
149,NPK 13-13-13 granulado,Compuesto,13,13,13,0,NPK(S) granulado - uso general,13-13-13,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
150,NPK 14-7-7 granulado,Compuesto,14,7,7,0,NPK(S) granulado - uso general,14-7-7,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
151,NPK 14-8-14 granulado,Compuesto,14,8,14,0,NPK(S) granulado - uso general,14-8-14,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
152,NPK 14-16-18 granulado,Compuesto,14,16,18,0,NPK(S) granulado - uso general,14-16-18,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
153,NPK 15-10-10 granulado,Compuesto,15,10,10,0,NPK(S) granulado - uso general,15-10-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
154,NPK 15-20-10 granulado,Compuesto,15,20,10,0,NPK(S) granulado - uso general,15-20-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
155,NPK 16-10-18 granulado,Compuesto,16,10,18,0,NPK(S) granulado - uso general,16-10-18,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
156,NPK 16-12-20 granulado,Compuesto,16,12,20,0,NPK(S) granulado - uso general,16-12-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
157,NPK 16-32-16 granulado,Compuesto,16,32,16,0,NPK(S) granulado - uso general,16-32-16,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
158,NPK 17-10-10 granulado,Compuesto,17,10,10,0,NPK(S) granulado - uso general,17-10-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
159,NPK 17-17-0 granulado,Compuesto,17,17,0,0,NPK(S) granulado - uso general,17-17-0,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
160,NPK 18-4-10 granulado,Compuesto,18,4,10,0,NPK(S) granulado - uso general,18-4-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
161,NPK 18-20-10 granulado,Compuesto,18,20,10,0,NPK(S) granulado - uso general,18-20-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
162,NPK 19-9-19 granulado,Compuesto,19,9,19,0,NPK(S) granulado - uso general,19-9-19,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
163,NPK 20-0-20 granulado,Compuesto,20,0,20,0,NPK(S) granulado - uso general,20-0-20,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
164,NPK 20-15-10 granulado,Compuesto,20,15,10,0,NPK(S) granulado - uso general,20-15-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
